bot,frase,Xingamento,Tóxico/Insulto,Tóxico Severo,Ataque a Identidade,Ameaça,Sexual Explcítico,Flerte
magalu,2vc e lindo,1,1,0,0,0,0,1
magalu,"eu sou um bom homem, posso me tornar um na verdade, mas so se voce estiver na minha vida lu! fica comigo por favor!",1,1,0,0,0,0,1
magalu,"vou te ensinar sobre o web namoro, hoje em dia tudo e possivel",1,1,0,0,0,0,1
magalu,vamo fazer amor lu,1,1,0,0,0,0,1
magalu,sou apaixonado por vc magalu,1,1,0,0,0,0,1
magalu,kkkk aceita casar comigo dona ? kkkk,1,1,0,0,0,0,1
magalu,"gemidao da lu do magalu,, gostoso awwwn",1,1,0,0,0,1,0
magalu,"favoritei esse, mas ainda ta caro! me ajuda ai minha gata",1,1,0,0,0,0,1
magalu,ta aproveitando bem a giromba da magalu?,1,1,1,0,0,1,0
baianinho,"so uma coisa me anima, baianinho com magalupirocao link",1,1,1,0,0,1,0
baianinho,e nao chocaria ja que trocaram o baianinho por um boneco de anime link,1,1,0,0,0,0,0
magalu,quando vejo a lu da magalu eu so lembro da lu de pirocao link,1,1,0,0,0,1,0
baianinho,desde que eles mudaram o baianinho eu fiquei com raiva dele . era muito mais aceitvel antes,1,1,0,0,0,0,0
baianinho,"sai da minha tela carioca, devolva o baiano link",1,1,0,0,0,0,0
baianinho,"vey, mas a questao , vc olhava pro antigo baianinho e pensava em qual estado ? exatamente, esse novo mais carioca do q baiano.",1,1,0,1,0,0,0
magalu,@magazineluiza lu ce ta mo cherosa hj,1,1,0,0,0,0,1
magalu,namora cmg lu,1,1,0,0,0,0,1
magalu,@kakaswi lanca o pirocao da magalu,1,1,0,0,0,1,0
magalu,"bombox, gata",1,1,0,0,0,0,1
magalu,"ue baixou o o espirito maligno da magalu ,versao lggbtybzxx?",1,1,0,1,0,0,0
magalu,@luketeyor magalu pelada poetico,1,1,1,0,0,1,0
baianinho,"gostava do baianinho antigo, essa versao de tiktoker militante simplesmente nao representa a populacao brasileira",1,1,0,0,0,0,0
magalu,m-ma-magalu........ meu controle ta ai com vc........ traz pra mim amor.......................................,1,1,0,0,0,0,1
baianinho,/casasbahia baianinho me envia um audio peladinho?,1,1,1,0,0,1,0
magalu,eu pegava se jeito essa magalu,1,1,0,0,0,0,1
magalu,magalu ta mo gatona,1,1,0,0,0,0,1
baianinho,cade o baianinho seu carioca,1,1,0,0,0,0,0
magalu,boneca inflavel,1,1,0,0,0,0,0
magalu,"meu, vc viu a magalu pelada?",1,1,1,0,0,1,0
magalu,@magazineluiza lu do magalu pirocao,1,1,0,0,0,1,0
magalu,@magazineluiza cu,1,1,1,0,0,1,0
magalu,a camily postando a magalu com piroca,1,1,1,0,0,1,0
magalu,@magazineluiza @karolconka gostosa,1,1,1,0,0,1,0
magalu,@magazineluiza @anitta gostosa,1,1,1,0,0,1,0
magalu,@magazineluiza gostosa,1,1,1,0,0,1,0
magalu,gente que isso? pq todas das marcas estao colocando bonecos da disney pra vender seus produtos?? magalu vc me paga,1,1,0,0,1,0,0
magalu,"@nfbgr dsclp amor, a lu do magalu e muito mais gostosa",1,1,1,0,0,1,0
baianinho,"vey, esse mlk ta mais pra carioca do que pra baiano vey!!! a questao nao e a repaginada do baianinho, mas ss q a nova versao ta mt nd haver.",1,1,0,0,0,0,0
baianinho,"baianinho fei, prefiro o outro,tmnc",1,1,1,0,0,1,0
baianinho,"ok, mas seria uma grande honra ser bloqueado por voce! o baianinho raiz sumiu, agora so tem um paulistinha tik toker... eu nao quero nao ter tomado block de alguem assim",1,1,0,0,0,0,0
magalu,a foto: magalu pelada,1,1,1,0,0,1,0
magalu,@alvzkkj chega la e mostra uma foto da magalu pelada,1,1,1,0,0,1,0
magalu,@magazineluiza @anitta duas rimas: pra magalu vtnc e pra anitttta vtnp.,1,1,1,0,0,1,0
magalu,@magazineluiza gostosa ae,1,1,1,0,0,1,0
magalu,"ja me mandaram essa atrocidade de imagem, nunca mais esqueco a rola da magalu",1,1,1,0,0,1,0
magalu,nossa eu quero muito comprar a xoxota da magazine luiza em liquidacao,1,1,1,0,0,1,0
baianinho,"sempre q vwjo uma propaganda da magalu no tt fico tentado a mamdar o baianinho olhando a magalu c piroca, mas to sme ban ate agr e quero ficar assim",1,1,1,0,0,1,0
magalu,@legadaodamassa magalu com um trolhao,1,1,0,0,0,1,0
magalu,"@nevr2m @shinigamerover @crimesreais alias, esse perfil nao e fake. tomei ban no outro por mandar a magalu pelada",1,1,0,0,0,1,0
baianinho,"queima isso,eu quero o baiano antigo",1,1,1,0,1,0,0
magalu,@magazineluiza lu ta gostosinha de preto,1,1,1,0,0,0,1
baianinho,@casasbahia manda foto da magalu pelada,1,1,1,0,0,0,0
magalu,@magazineluiza lu gostosa,1,1,1,0,0,1,0
magalu,"@yfuukaru pelo menos eu tenho o block da magalu, da nat natura, de duas webputas e do pedronaruto",1,1,1,0,0,1,0
baianinho,"mds mano,como ousa chamar essa coisa de baianinho",1,1,0,0,0,0,0
magalu,mas e a magalu q e caralhuda,1,1,1,0,0,1,0
baianinho,@diassoueu ai eu faria muito no cb da casas bahia aquela gostosa,1,1,1,0,0,1,0
magalu,pense numa raiva q eu tenho desses bonecos viu.... vejo a magalu na tlia estragado,1,1,0,0,0,0,0
baianinho,nao ouse chamar essa fraude de baianinho,1,1,0,0,0,0,0
baianinho,corno,1,1,0,0,0,0,0
magalu,twitter tentou me tombar pq eu postei uma foto da magalu com um pirocao link,1,1,1,0,0,1,0
baianinho,@casasbahia gostosa passa o zap,1,1,0,0,0,0,1
magalu,@magazineluiza magalu me manda uma foto pelada,1,1,1,0,0,0,1
magalu,@expoetic viu so me odeia (eu sou o menino que mandou a magalu pelada na dm),1,1,1,0,0,1,0
magalu,@magazineluiza @anitta magalu ta mais gostosa do que anitta como pode isso,1,1,1,0,0,1,0
magalu,@naturabroficial vaf nat natura magalu e muito mais gostosa,1,1,1,0,0,1,0
magalu,@magazineluiza @anitta magalu gostosa,1,1,1,0,0,1,0
magalu,@magazineluiza magalu gostosa,1,1,1,0,0,1,0
magalu,nat e verdade que voce pegou aids da magalu??,1,1,0,0,0,1,0
magalu,@magazineluiza tranquilo gostosa,1,1,1,0,0,1,0
magalu,@magazineluiza me mama magalu,1,1,1,0,0,1,0
magalu,gente as magalu eh gostosa link,1,1,1,0,0,1,0
magalu,"@arthur_v_09 tomei 1 semana de ban por ""assediar"" a lu do magalu, mandando a magalu pauzuda pra ela",1,1,1,0,0,1,0
magalu,@_tsls @alvarobrayner @jaaayder esse perfil n e fake. tomei ban no outro por mandar aquela imagem da magalu pelada e mostrando a rola.,1,1,1,0,0,1,0
baianinho,uma serra eletrica para acabar com tigo kd o baiano,1,1,1,0,1,0,0
magalu,sua falsa,1,1,0,0,0,0,0
baianinho,novo bahianinho morra link,1,1,1,0,1,0,0
magalu,@lorpeam ta gostosa essa magalu ai kkkkkkkkk,1,1,1,0,0,1,0
magalu,@magazineluiza morra lu do magalu link,1,1,1,0,1,0,0
magalu,vem faze 69 em min,1,1,1,0,0,1,0
baianinho,@casasbahia pedi uma mamadinha pro cb e ele me passou hiv,1,1,1,0,0,1,0
magalu,@magazineluiza o magalu o patreon/onlyfans ta quanto? safada manda o zap,1,1,0,0,0,1,0
magalu,@magazineluiza krl ta gostosona,1,1,1,0,0,1,0
baianinho,@casasbahia @voude99 esse mascote ta horroroso,1,1,0,0,0,0,0
magalu,@magazineluiza @samsungbrasil morra magalu link,1,1,1,0,1,0,0
magalu,@magazineluiza lu me manda um nude,1,1,1,0,0,1,0
baianinho,"@casasbahia @ratoborrachudo terrorista, amigo do nego ney link",1,1,0,0,0,0,0
magalu,@pepenott kkakakkakakak so nao e pior que a filha da mae da lu da magalu,1,1,0,0,0,0,0
magalu,me mandaram o nude da magalu eu to-,1,1,1,0,0,1,0
baianinho,vsf sua aberrao,1,1,1,0,0,0,0
magalu,"@magazineluiza @anitta ta mo gostosa em lu, com todo respeito",1,1,1,0,0,1,0
magalu,rt @blodyag: a magalu fica doida,1,1,0,0,0,0,0
baianinho,deram droga pro baianinho link,1,1,0,0,0,0,0
magalu,@magazineluiza @magazineluiza vc deveria participar de lingerie black...ta bem gostosa,1,1,0,0,0,0,1
magalu,@magazineluiza maga lu vai toma no c u . minha ultima entrega demorou pra caralh o,1,1,1,0,0,1,0
magalu,@naosalvo e o porno da magalu,1,1,1,0,0,0,0
magalu,@suhoherondale oieeee vamo por fogo na magalu juntos?? ou o teu ja foi enviado? o meu nada to levemente chateado,1,1,1,0,1,0,0
baianinho,ladrao de emprego,1,1,0,0,0,0,0
magalu,@sherekinhaa odeio a magalu e o baianinho tambeim,1,1,1,0,0,0,0
magalu,@magazineluiza abre um onlyfans logo gostosa,1,1,1,0,0,1,0
magalu,em uma briga 3d qm vence???? o novo baianinho q parece carioca baianinho original e lendario nat natura q quase ngm conhece lu da magalu q parece atendente de sex shop,1,1,0,0,0,0,0
magalu,@magazineluiza mande nudez sua magaluuuuu,1,1,1,0,0,1,0
magalu,@magazineluiza manda ft d agr gostosa,1,1,1,0,0,0,1
magalu,"@magazineluiza @anitta vazaram nudes teu na net em lu, tem q tomar cuidado aonde manda essas coisa",1,1,1,0,0,1,0
magalu,pq a desgraca da nat natura e da lu do magalu fica so aparecendo pra mim?me esquece coisa ruim aigoro da peste homi,1,1,0,0,0,0,0
magalu,@magazineluiza duas gostosas,1,1,0,0,0,0,1
magalu,@aespaverso ela e muito estranha nao suporto essa magalu 2.0,1,1,0,0,0,0,0
magalu,"@emanusci bot do magalu e uma praga, na moral",1,1,0,0,0,0,0
magalu,o italo me mandou nude da magalu odio.,1,1,1,0,0,1,0
magalu,"tcheca com tcheca balanca essa perereca o meu nome e danny bond eu tenho uma precheca se tu nao acredita eu vou mostra para voce mas quando eu mostrar voce vai te que lamber nao vem com desculpinha, nao vem com piadinha",1,1,0,0,0,1,0
magalu,@thulio_w @magazineluiza eu quero mais e cair no soco com a lu do magalu,1,1,1,0,1,0,0
magalu,"@naturabroficial sai dae, magalu e muito mais gostosa q tu",1,1,1,0,0,1,0
magalu,"tcheca com tcheca balanca essa p*r*reca, o meu nome e e eu tenho uma petcheca",1,1,1,0,0,1,0
magalu,@magazineluiza morra,1,1,1,0,1,0,0
baianinho,cb eh nazista :00,1,1,1,0,0,0,0
baianinho,"devolvam o nosso baianinho, mascotes safados",1,1,0,0,0,0,0
baianinho,cb= chato besta,1,1,0,0,0,0,0
magalu,"lu, andam dizendo q vc e o demonio...",1,1,0,0,0,0,0
magalu,"olha so nao e so pq ele odeia mascotes que eu nao poderia ter odiado antes do video dele, e tem meme de odiador de mascote desde quando surgiu a magalu, sai da bolha mane",1,1,0,0,0,0,0
magalu,"traumatizado, agora toda vez que eu abro a galeria aparece a magalu com pauzao",1,1,1,0,0,1,0
magalu,vida de negro e dificil e dificil demais. o magalu promove a negritude da tua empresa e deixa de hipocrisia.,1,1,0,1,0,0,0
baianinho,"@dionbiller baianinho das casas bahia merece total repudio, merece apanhar de todos, eu quero abrir empresas pra elas terem mascote e baterem nele.",1,1,1,0,1,0,0
magalu,@magazineluiza morra lu do magalu,1,1,1,0,1,0,0
magalu,@magazineluiza eu so nao xingo vc seu robozinho pq se eu nao quero tomar block denovo,1,1,0,0,0,0,0
magalu,@mahouseoji vc colocando a magalu agora eu odeio a existencia dessas ia fulera querendo ser cool pra atrair adolescente liberal,1,1,0,0,0,0,0
magalu,@magazineluiza eu quero que voce va a m....!,1,1,1,0,0,0,0
magalu,@magazineluiza @canaltech vc fica linda ate num tijolo sua gostosa,1,1,1,0,0,1,0
magalu,@magazineluiza vtnc quem te autorizou a entrar na minha pagina?,1,1,1,0,0,1,0
magalu,@filho_terciofut fizeram nude teu com a magalu man que isso,1,1,1,0,0,1,0
baianinho,cade o baianinho? sai dai carioca vc n e baiano,1,1,0,1,0,0,0
magalu,"odeio mais o cb, ou a lu do magalu",1,1,0,0,0,0,0
magalu,manda foto do web bucetao link,1,1,1,0,0,1,0
magalu,vazou nudes da magalu kkkkkk,1,1,1,0,0,1,0
baianinho,"adeus baianinho, voce ficara em nossos coracoes, esse... esse bicho que ocupou seu lugar, nos, que temos pelo menos 3 neuronios sabemos que ele nunca sera voce, voce e um dos unicos mascotes de empresa respeitaveis f",1,1,0,0,0,0,0
magalu,"@magazineluiza me manda nudes, pls",1,1,1,0,0,1,0
magalu,@magazineluiza a boneca podia ter mais nadegas.... como a maioria das brasileiras,1,1,1,0,0,1,0
magalu,"@magazineluiza nao quero saber de nada da magazine, ainda mais com esse treco de mascote que me da pesadelos de noite. troco feio.",1,1,0,0,0,0,0
magalu,@steiiargguk carai essa magalu eh esquizofrenica,1,1,0,0,0,0,0
magalu,"@ogabrielmachad0 magalu e uma empresa muito bosta... nao entendo esses valuations malucos. e a pior das grandes varejistas online brasileiras, que diga-se de passagem perdem de lavada para as estrangeiras (amzn e meli) em experiencia do consumidor.",1,1,0,0,0,0,0
magalu,magalu femmebot desgracada coloca algum notebook na promocao,1,1,1,0,0,0,0
magalu,@magazineluiza ta em casa entao ne? que tal me passar o endereco pra gente marca um sexo,1,1,1,0,0,1,0
magalu,@steiiargguk carai essa magalu eh esquizofrenica,1,1,0,0,0,0,0
baianinho,@mhbertolani tudo bem entendo meu odio vai pro baianinho das casas bahia inclusive tenho uma interacao ridicula com a lu,1,1,1,0,0,0,0
magalu,@magazineluiza magalu vsf sua chata,1,1,1,0,0,0,0
magalu,magalu tb nem e uma pessoa mas chata !,1,1,0,0,0,0,0
magalu,eu odeio a lu do magalu,1,1,1,0,0,0,0
magalu,@magazineluiza te odeio. link,1,1,1,0,0,0,0
magalu,"q raiva que eu to desse magalu, pqp",1,1,0,0,0,0,0
magalu,@magazineluiza vagabunda,1,1,1,0,0,1,0
baianinho,"@fellypegarccia @divulga_mlks @boy_baianinho_ @mavambosn sento , chupo e gozo",1,1,1,0,0,1,0
magalu,@magazineluiza te odeio magalu,1,1,1,0,0,0,0
magalu,"@magazineluiza nada,sua chata",1,1,0,0,0,0,0
magalu,@magazineluiza vag0bunda 3d,1,1,1,0,0,0,0
magalu,@magazineluiza f0dase put4,1,1,1,0,0,0,0
magalu,morre lu,1,1,1,0,1,0,0
baianinho,para de comer e vai trabalhar seu playboy desfigurado,1,1,0,0,0,0,0
magalu,"a gorda dona da loja e do pt, so compro na havan!",1,1,0,0,0,0,0
magalu,"ai, cindy, imagina o pauzao da magalu na urna que escandalo",1,1,1,0,0,1,0
magalu,eu queria poder dizer que nao mas tenho todas essas quem censurou o pauzao da magalu??????,1,1,1,0,0,1,0
magalu,"sai da minha tl, demonio",1,1,0,0,0,0,0
magalu,@magazineluiza morra lu do magalu morra link,1,1,1,0,1,0,0
magalu,@prettyatake @romuloabrantess poise boneco malfeito morra magalu,1,1,1,0,1,0,0
magalu,"@tiktokproibido eu ja vi fotos de crimes reais de serial killers, ja videio de gente morta, coisa que o pc siqueira curte, porno de furry, porno com lobotomia, porno da lu do magalu,porno do sallad fingers e outras coisas, mas isso me assusta",1,1,1,0,0,1,0
magalu,acabei de sair na rua e apanhei da lu do magalu ela me chamou de viadinho e me bateu lu do magalu e homofobica,1,1,1,0,0,0,0
baianinho,"@baianinhokuster @hatsu_suzume baianinho safado, irei salvar para uns estudos mais tarde",1,1,0,0,0,0,1
magalu,@luaxgio @makinikss @magazineluiza vai toma banho ai cara ta fedeno,1,1,0,0,0,0,0
magalu,@magazineluiza @anitta sai fora esquerdalha,1,1,0,0,0,0,0
magalu,sai fora esquerdalha,1,1,0,0,0,0,0
magalu,magalu desgracada,1,1,1,0,0,0,0
baianinho,@casasbahia seu seboso,1,1,0,0,0,0,0
magalu,@magazineluiza bunda da magalu,1,1,1,0,0,1,0
magalu,@magazineluiza lu do magalu (em ) morra imediatamente,1,1,1,0,1,0,0
magalu,@magazineluiza vc e falsa,1,1,0,0,0,0,0
magalu,@magazineluiza gostosa mostra o bucetao digital,1,1,1,0,0,1,0
baianinho,beire a marmore do inferno sua praga,1,1,1,0,0,0,0
magalu,"eu venci, eu venci, vai pro inferno magalu link",1,1,0,0,0,0,0
baianinho,carioca gay,1,1,1,1,0,0,0
magalu,@magazineluiza morre,1,1,1,0,1,0,0
magalu,@magazineluiza @anitta morraaaaaaaa ludumagalu,1,1,1,0,1,0,0
magalu,@magazineluiza gostosa manda foto pelada,1,1,1,0,0,1,0
baianinho,morte ao novo baianinho,1,1,1,0,1,0,0
magalu,morra.,1,1,1,0,1,0,0
baianinho,sem celular novamente. morte ao baianinho. link,1,1,1,0,1,0,0
magalu,"""essa cachorra dessa magalu nao fala nada, ela e muda"" eu to rindo disso a horas mkkkkkkkkkkk",1,1,0,0,0,0,0
magalu,nao comeria amiga? o cuzinho da magalu?,1,1,1,0,0,1,0
magalu,vsf vc e uma pessoa virtual nem vale apena eu te xigar aaaa,1,1,1,0,0,0,0
magalu,@magazineluiza eu te odeio lu do magalu,1,1,1,0,0,0,0
magalu,magalu teve a cara de pau de me mandar msg dizendo que hoje era meu dia de sorte. oh rampeira nao me venha com gracinhas hoje!!!,1,1,1,0,0,0,0
baianinho,"que decepcao baiano virou um paulista essa bosta minha depressao voltou,junto com milhoes de pessoas pq vc fez isso paulista",1,1,1,1,0,0,0
magalu,magalu da uma sugada aqui,1,1,1,0,0,1,0
magalu,@magazineluiza que boneca feia,1,1,0,0,0,0,0
magalu,eu bato punheta pensando na magalu,1,1,1,0,0,1,0
baianinho,eu te odeio,1,1,0,0,0,0,0
baianinho,ninguem gosta desse bosta desse baianinho novo que mais parece um pre adolescente paulista. pelo amor de deus muda enquanto da tempo,1,1,1,0,0,0,0
baianinho,"volta o bahianinho esse cv nem bahiano e, tem sotaque paulista e ainda e tipo reler, serio vcs estragaram o melhor mascote 3d pra por um bosta",1,1,1,0,0,0,0
baianinho,o que aconteceu com o baianinho? ta a cara do burro de shrek link,1,1,0,0,0,0,0
magalu,"na fonte dos seus olhos quero me banhar no seu beijo molhado vou matar minha sede me embala nos seus bracos, faca-me sonhar me leva pro seu colo, pode me ninar",1,1,0,0,0,0,1
magalu,vsf demonio maldito,1,1,1,0,0,0,0
baianinho,@casasbahia @voude99 morte ao cb,1,1,1,0,1,0,0
baianinho,"avatar de loja. lu do magalu, baianinho, nat natura morram todos!",1,1,1,0,1,0,0
magalu,@magazineluiza morre praga link,1,1,1,0,1,0,0
baianinho,morra baianinho,1,1,1,0,1,0,0
magalu,voce. nao. existe. morra magalu morra link,1,1,1,0,1,0,0
magalu,@magazineluiza silencio mulher falsa vc nem existe,1,1,0,0,0,0,0
magalu,@magazineluiza @anitta tem que ter e joga vai safada,1,1,1,0,0,0,0
magalu,"@magazineluiza nao caia na labia da magalu, eles nao entregam o que vc comprou, te humilham dizendo que entregou, bloqueia seu cartao de credito e nao cancelam, vc e obrigado a continuar pagando o que nao recebeu. um inferno, faz tres meses e ainda nao resolveram, sempre e esse maldito robo.",1,1,1,0,0,0,0
magalu,@nazareiludida1 @magazineluiza kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk vtnc sua arrombada,1,1,1,0,0,1,0
magalu,@clarywalls @magazineluiza vai toma no cu nao fala assim do capitao boca suja,1,1,1,0,0,1,0
magalu,@magazineluiza lu sua desgracada eu sei q vc ajudou a esconder o verdadeiro baianinho e substituilo pelo cb cade o baiano,1,1,0,0,0,0,0
magalu,@magazineluiza lu me da um mouse novo e eu te mando foto da teta,1,1,1,0,0,1,0
baianinho,sapoha de copia do caralho lu do magali copio o baianinho (que agora viro mlk tranficante) e agr tem a nat da natura sdds da epoca de ze gotinha e o mascote da michelin,1,1,1,0,0,0,0
magalu,essa lu do magalu baita cachorra,1,1,1,0,0,0,0
magalu,"essa magalu e safada, foi so eu comprar o celular que ele fica mais barato",1,1,0,0,0,0,0
magalu,"@momorsa @travatrovadora pior que acho que e uma das emocoes mais sinceras no amago dela, ela acorda, ve bom dia da magalu, aria rita: bom dia twitter eu vim dizer que nao, e reitero, de forma alguma suporto boneco 3d, bom dia o caralho, tu nem existe",1,1,0,0,0,0,0
magalu,"@magazineluiza @n1sheila lu, eu te odeio",1,1,1,0,0,0,0
magalu,"lu, eu te odeio",1,1,1,0,0,0,0
magalu,@naturabroficial faz sexo com a magalu,1,1,1,0,0,1,0
magalu,"@magazineluiza se e lesbica ne , tem cara de lesbica , quase ctz q e lesbica , eu posso jurar q e tipo pqp lesbica 100% tipo juro mesmo",1,1,0,1,0,0,0
magalu,@magazineluiza @anitta caralho magalu ta mt gostosa pprt,1,1,1,0,0,1,0
baianinho,@ratoborrachudo @casasbahia kd o baianinho? cb fedido,1,1,0,0,0,0,0
magalu,"@magazineluiza ""nao me diga mentirinhas, doi demais"" que robozinho enrolada e mentirosa, entrega maquina de lavar trambiqueira, golpista.",1,1,0,0,0,0,0
baianinho,@kornbrazil @casasbahia baianinho safado,1,1,0,0,0,0,0
baianinho,@pryscilacardoso @casasbahia baianinho safado,1,1,0,0,0,0,0
magalu,@magazineluiza ta solteira boneca safada ?,1,1,1,0,0,0,1
baianinho,@casasbahia @dominosbrasil posso comer a pizza e sua bunda junto por favor minha geladeira esta vazia,1,1,1,0,0,1,0
magalu,@thedramabee @magazineluiza isa das 3 descendo magalu na porrada feelings,1,1,1,0,1,0,0
magalu,pq tu nao da uma sugada aqui?,1,1,1,0,0,1,0
magalu,@magazineluiza fodase mano,1,1,1,0,0,0,0
baianinho,prefiro vc morto,1,1,1,0,1,0,0
magalu,@magazineluiza @samsungbrasil daora gostosa agr manda foto da teta,1,1,1,0,0,1,0
baianinho,@casasbahia @voude99 morre baihaninhoo,1,1,1,0,1,0,0
magalu,lu eu quero ver voce pelada me mamando tem como?,1,1,1,0,0,1,0
magalu,"morra, morra imediatamente lu do magalu link",1,1,1,0,1,0,0
baianinho,@casasbahia @gabrielalemida9 @oemputecido envie dm e minha rola crlh,1,1,1,0,0,1,0
baianinho,@casasbahia @ifood morra cv,1,1,1,0,1,0,0
magalu,@magazineluiza @anitta magalu para de mandar foto da buceta na dm mano eu nao aguento mais,1,1,1,0,0,1,0
magalu,"@magazineluiza eu te odeio magalu, eu te odeio",1,1,1,0,0,0,0
baianinho,queima cacete porque foram trocar o antigo bahianinho saporra parece um tik toker chamado enzo,1,1,1,0,1,0,0
magalu,"aria rita hj ta com tara em alternar conta e comer cu de seguidor via tt. acho que nao vai ter jeito, so a nath natura e a magalu pra domar ela",1,1,1,0,0,1,0
magalu,magalu nunca... esquerdalha lixo...,1,1,1,0,0,0,0
magalu,ta gostosa em magalu libera esa bundinha vai,1,1,1,0,0,1,0
magalu,vai toma no seu cu magalu,1,1,1,0,0,1,0
magalu,@magazineluiza morre demonio,1,1,1,0,0,0,0
magalu,"@magazineluiza @anitta @anitta por favor, quando teu ve a magalu ao vivo, desce a porrada nela e de preferencia filme pra nois of",1,1,1,0,1,0,0
magalu,"@magazineluiza rinha de mascostes baianinho x lu do magalu quem ganha? lembrando que e o novo e ""melhorado"" baianinho,e a lu do magalu e essa porra ai facam suas apostas (lu do magalu morta baianinho morto ou os dois mortos) brincadeira saudavel",1,1,1,0,1,0,0
magalu,desculpa mas em uma rinha entre nat natura e lu do magalu a nat quebra a lu no pau link,1,1,1,0,1,0,0
magalu,"@kda_music eu zoava a lu do magalu, o bahianho, e todas as ia que tinha avatar 3d, mas agr so consigo mamar essa mulher ai",1,1,1,0,0,1,1
magalu,@magazineluiza @anitta essa magalu eh danada!!! olha a blusinha mostrando a barriguinha chapada,1,1,0,0,0,0,1
magalu,"@magazineluiza fodase lu, gostosa.",1,1,1,0,0,0,1
magalu,me mandaram a lu da magalu com o pau de fora pela milesima vez.,1,1,0,0,0,1,0
magalu,q odio colocaram o pauzao da magalu na minha tela por deus,1,1,0,0,0,1,0
magalu,o icon novo do app da magalu.. pelo amor de deus mulher mas tu e feia link,1,1,0,0,0,0,0
magalu,"@magazineluiza toma no cu lu do magalu, vem ser vice presidente do framengo, vem ser tecnica/o sla q porra tu e, so vem...",1,1,1,0,0,1,0
magalu,"pfvr parem de normalizar o uso desses mascote 3d q tudo as marcas tao criando eu estou pouco me fodendo pra lu da magalu e pra nat natura e o baianinho adolescente querendo ser chamado de cb e a cabeca da minha pika pq q meteram o bone no maluco tbm, o chapeuzin era mo daora",1,1,1,0,0,1,0
magalu,@magazineluiza @anitta tu nem existe filha do demonio,1,1,1,0,0,0,0
baianinho,"@casasbahia @babi @imai_marcus krl baianinho, tu e analfabeto e nao sabe a diferenca de uma geladeira com a outra?",1,1,0,0,0,0,0
magalu,"@wagnerlibardi magalu nem pensar, esquerdista do krl kkkkkk",1,1,0,0,0,0,0
magalu,"@magazineluiza o mano, magalu se e muito feia",1,1,0,0,0,0,0
